Rank,Title,Link,Author,Aborn,Adeath,Translator,Tborn,Tdeath,Subject,Language
362,This Side of Paradise,https://www.gutenberg.org//ebooks/805,"Fitzgerald, F. Scott (Francis Scott)",1896,1940,,,,"['Love stories', 'Bildungsromans', 'Young men -- Fiction', 'Children of the rich -- Fiction', 'Advertising -- Fiction', 'College students -- Fiction', 'World War, 1914-1918 -- Veterans -- Fiction']",English
907,The Beautiful and Damned,https://www.gutenberg.org//ebooks/9830,"Fitzgerald, F. Scott (Francis Scott)",1896,1940,,,,"['New York (N.Y.) -- Fiction', 'Inheritance and succession -- Fiction', 'Psychological fiction', 'Domestic fiction', 'Married people -- Fiction', 'Alcoholics -- Fiction', 'Young men -- Fiction', 'Socialites -- Fiction']",English
349,"Shelters, Shacks and Shanties",https://www.gutenberg.org//ebooks/28255,"Beard, Daniel Carter",1850,1941,,,,"['Huts -- Design and construction', 'Log cabins -- Design and construction', 'Sheds -- Design and construction', 'Wilderness survival']",English
742,The Golden Bough: A Study of Magic and Religion,https://www.gutenberg.org//ebooks/3623,"Frazer, James George",1854,1941,,,,"['Religion', 'Magic', 'Superstition', 'Mythology']",English
808,Scouting for Boys,https://www.gutenberg.org//ebooks/65993,"Baden-Powell of Gilwell, Robert Stephenson Smyth Baden-Powell, Baron",1857,1941,,,,"['Boy Scouts', 'Citizenship']",English
736,The Post Office,https://www.gutenberg.org//ebooks/6523,"Tagore, Rabindranath",1861,1941,"Mukherjee, Devabrata",,,"['Tagore, Rabindranath, 1861-1941 -- Translations into English', 'Indic drama -- Translations into English', 'Bengali drama -- Translations into English']",English
265,Trois femmes (French),https://www.gutenberg.org//ebooks/70954,"Mille, Pierre",1864,1941,,,,['French fiction -- 20th century'],French
343,"Arsène Lupin, gentleman-cambrioleur (French)",https://www.gutenberg.org//ebooks/32854,"Leblanc, Maurice",1864,1941,,,,"['Short stories', 'Burglars -- Fiction', 'Lupin, Arsène (Fictitious character) -- Fiction', 'Mystery and detective stories', 'Adventure stories, French']",French
390,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",https://www.gutenberg.org//ebooks/6133,"Leblanc, Maurice",1864,1941,,,,"['Short stories', 'Burglars -- Fiction', 'Lupin, Arsène (Fictitious character) -- Fiction', 'Adventure stories, French -- Translations into English', 'Mystery and detective stories']",English
14,The Enchanted April,https://www.gutenberg.org//ebooks/16389,"Von Arnim, Elizabeth",1866,1941,,,,"['Love stories', 'Domestic fiction', 'Italy -- Fiction', 'Female friendship -- Fiction', 'British -- Italy -- Fiction']",English
387,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life",https://www.gutenberg.org//ebooks/416,"Anderson, Sherwood",1876,1941,,,,"['City and town life -- Fiction', 'Pastoral fiction', 'Ohio -- Social life and customs -- Fiction']",English
562,"A story teller's story :  The tale of an American writer's journey through his own imaginative world and through the world of facts, with many of his experiences and impressions among other writers",https://www.gutenberg.org//ebooks/74755,"Anderson, Sherwood",1876,1941,,,,"['Authors, American -- 20th century -- Biography', 'Anderson, Sherwood, 1876-1941']",English
50,Ulysses,https://www.gutenberg.org//ebooks/4300,"Joyce, James",1882,1941,,,,"['City and town life -- Fiction', 'Psychological fiction', 'Domestic fiction', 'Married people -- Fiction', 'Male friendship -- Fiction', 'Dublin (Ireland) -- Fiction', 'Epic literature', 'Artists -- Fiction', 'Jewish men -- Fiction', 'Alienation (Social psychology) -- Fiction']",English
